text_id,family,z_score,n_tokens
93,unbiased,0.0,76
94,kgw,-0.41702874115764593,92
94,unbiased,0.0,92
95,kgw,0.22360674774999012,80
95,unbiased,1.1180337387499506,80
96,kgw,1.5011103532264403,75
96,unbiased,-1.7320504075689696,75
97,kgw,-0.2357022048399734,72
97,unbiased,-1.6499154338798137,72
98,kgw,0.8082901901988524,75
98,unbiased,2.193930516254028,75
99,kgw,0.22086300336921602,82
99,unbiased,0.44172600673843204,82
