method,attack_type,attack_strength,prompt_id,z_score,remaining_tokens
kgw_d1.5,synonym,0.2,11,3.354101216249852,80
kgw_d1.5,synonym,0.3,11,3.1304944684998617,80
kgw_d1.5,deletion,0.0,12,2.81271911940381,79
kgw_d1.5,deletion,0.1,12,3.064128662919654,72
kgw_d1.5,deletion,0.2,12,2.9999992500001875,64
kgw_d1.5,deletion,0.3,12,0.9615236834899523,53
kgw_d1.5,deletion,0.4,12,0.3162276660168695,40
kgw_d1.5,deletion,0.5,12,0.3162276660168695,40
kgw_d1.5,synonym,0.0,12,2.9068877207498716,80
kgw_d1.5,synonym,0.1,12,2.012460729749911,80
kgw_d1.5,synonym,0.2,12,1.788853981999921,80
kgw_d1.5,synonym,0.3,12,0.6708202432499704,80
kgw_d1.5,deletion,0.0,13,2.587701589851505,79
kgw_d1.5,deletion,0.1,13,1.6499154338798137,72
kgw_d1.5,deletion,0.2,13,0.9999997500000625,64
kgw_d1.5,deletion,0.3,13,2.6098499980441563,53
kgw_d1.5,deletion,0.4,13,0.0,40
kgw_d1.5,deletion,0.5,13,0.0,40
kgw_d1.5,synonym,0.0,13,2.4596742252498913,80
kgw_d1.5,synonym,0.1,13,1.788853981999921,80
kgw_d1.5,synonym,0.2,13,3.577707963999842,80
kgw_d1.5,synonym,0.3,13,1.5652472342499308,80
kgw_d1.5,deletion,0.0,14,3.4877717080607242,79
kgw_d1.5,deletion,0.1,14,2.8284264580796807,72
kgw_d1.5,deletion,0.2,14,2.9999992500001875,64
kgw_d1.5,deletion,0.3,14,2.060407893192755,53
kgw_d1.5,deletion,0.4,14,-1.264910664067478,40
kgw_d1.5,deletion,0.5,14,-1.264910664067478,40
kgw_d1.5,synonym,0.0,14,3.577707963999842,80
kgw_d1.5,synonym,0.1,14,3.1304944684998617,80
kgw_d1.5,synonym,0.2,14,1.5652472342499308,80
kgw_d1.5,synonym,0.3,14,2.236067477499901,80
kgw_d1.5,deletion,0.0,15,6.863034651345296,79
kgw_d1.5,deletion,0.1,15,5.6568529161593615,72
kgw_d1.5,deletion,0.2,15,4.249998937500266,64
kgw_d1.5,deletion,0.3,15,2.3351289456184556,53
kgw_d1.5,deletion,0.4,15,-0.9486829980506085,40
kgw_d1.5,deletion,0.5,15,-0.9486829980506085,40
kgw_d1.5,synonym,0.0,15,6.708202432499704,80
kgw_d1.5,synonym,0.1,15,4.6957417027497925,80
kgw_d1.5,synonym,0.2,15,3.354101216249852,80
kgw_d1.5,synonym,0.3,15,4.024921459499822,80
kgw_d1.5,deletion,0.0,16,4.612859355822248,79
kgw_d1.5,deletion,0.1,16,3.064128662919654,72
kgw_d1.5,deletion,0.2,16,1.999999500000125,64
kgw_d1.5,deletion,0.3,16,1.236244735915653,53
kgw_d1.5,deletion,0.4,16,-0.9486829980506085,40
kgw_d1.5,deletion,0.5,16,-0.9486829980506085,40
kgw_d1.5,synonym,0.0,16,4.248528207249812,80
kgw_d1.5,synonym,0.1,16,5.142955198249773,80
kgw_d1.5,synonym,0.2,16,2.9068877207498716,80
kgw_d1.5,synonym,0.3,16,1.788853981999921,80
kgw_d1.5,deletion,0.0,17,3.7127892376130287,79
kgw_d1.5,deletion,0.1,17,3.535533072599601,72
kgw_d1.5,deletion,0.2,17,2.9999992500001875,64
kgw_d1.5,deletion,0.3,17,0.9615236834899523,53
kgw_d1.5,deletion,0.4,17,-0.3162276660168695,40
