method,fpr,tpr,roc_threshold,auc
kgw_d2.5,0.76,1.0,-0.6741996806451093,1.0
kgw_d2.5,0.8,1.0,-0.8728713704678206,1.0
kgw_d2.5,0.84,1.0,-1.1043150168460802,1.0
kgw_d2.5,0.86,1.0,-1.1180337387499506,1.0
kgw_d2.5,0.91,1.0,-1.4320776479078037,1.0
kgw_d2.5,0.93,1.0,-1.4444441234568615,1.0
kgw_d2.5,1.0,1.0,-3.2627541785084193,1.0
kgw_d3.0,0.0,0.0,inf,1.0
kgw_d3.0,0.0,0.01,8.720663162249615,1.0
kgw_d3.0,0.0,0.02,8.273449666749634,1.0
kgw_d3.0,0.0,0.06,8.049842918999644,1.0
kgw_d3.0,0.0,0.12,7.826236171249654,1.0
kgw_d3.0,0.0,0.17,7.602629423499664,1.0
kgw_d3.0,0.0,0.41,7.155415927999684,1.0
kgw_d3.0,0.0,0.51,6.931809180249694,1.0
kgw_d3.0,0.0,0.57,6.708202432499704,1.0
kgw_d3.0,0.0,0.67,6.4845956847497135,1.0
kgw_d3.0,0.0,0.79,6.260988936999723,1.0
kgw_d3.0,0.0,0.87,6.037382189249733,1.0
kgw_d3.0,0.0,0.92,5.813775441499743,1.0
kgw_d3.0,0.0,0.96,5.590168693749753,1.0
kgw_d3.0,0.0,1.0,4.919348450499783,1.0
kgw_d3.0,0.07,1.0,1.5215345573853973,1.0
kgw_d3.0,0.09,1.0,1.5011103532264403,1.0
kgw_d3.0,0.24,1.0,0.8017835114516161,1.0
kgw_d3.0,0.28,1.0,0.6625890101076481,1.0
kgw_d3.0,0.35,1.0,0.46499044686719415,1.0
kgw_d3.0,0.39,1.0,0.43133099979051787,1.0
kgw_d3.0,0.46,1.0,0.24618292135261977,1.0
kgw_d3.0,0.48,1.0,0.22360674774999012,1.0
kgw_d3.0,0.51,1.0,0.20628420669857594,1.0
kgw_d3.0,0.53,1.0,0.10721123049527866,1.0
kgw_d3.0,0.59,1.0,-0.22941568123899486,1.0
kgw_d3.0,0.61,1.0,-0.2357022048399734,1.0
kgw_d3.0,0.76,1.0,-0.6741996806451093,1.0
kgw_d3.0,0.8,1.0,-0.8728713704678206,1.0
kgw_d3.0,0.84,1.0,-1.1043150168460802,1.0
kgw_d3.0,0.86,1.0,-1.1180337387499506,1.0
kgw_d3.0,0.91,1.0,-1.4320776479078037,1.0
kgw_d3.0,0.93,1.0,-1.4444441234568615,1.0
kgw_d3.0,1.0,1.0,-3.2627541785084193,1.0
unb_a1.5,0.0,0.0,inf,0.7359
unb_a1.5,0.0,0.01,3.577707963999842,0.7359
unb_a1.5,0.0,0.02,3.354101216249852,0.7359
unb_a1.5,0.01,0.02,3.170374977656312,0.7359
unb_a1.5,0.01,0.06,2.906887720749872,0.7359
unb_a1.5,0.01,0.1,2.683280972999881,0.7359
unb_a1.5,0.01,0.11,2.4596742252498918,0.7359
unb_a1.5,0.03,0.11,2.27776931297835,0.7359
unb_a1.5,0.03,0.17,2.236067477499901,0.7359
unb_a1.5,0.04,0.17,2.193930516254028,0.7359
unb_a1.5,0.04,0.26,2.012460729749911,0.7359
unb_a1.5,0.07,0.26,1.8599617874687766,0.7359
unb_a1.5,0.07,0.32,1.788853981999921,0.7359
unb_a1.5,0.08,0.32,1.60816845742918,0.7359
unb_a1.5,0.08,0.39,1.5652472342499308,0.7359
unb_a1.5,0.11,0.39,1.362770002024268,0.7359
unb_a1.5,0.11,0.49,1.3416404864999407,0.7359
unb_a1.5,0.15,0.49,1.1313705298985666,0.7359
unb_a1.5,0.16,0.56,1.1180337387499506,0.7359
unb_a1.5,0.22,0.56,0.9299808937343883,0.7359
unb_a1.5,0.24,0.56,0.8962579300221338,0.7359
unb_a1.5,0.24,0.64,0.8944269909999605,0.7359
unb_a1.5,0.32,0.64,0.6868026310642517,0.7359
unb_a1.5,0.32,0.71,0.6708202432499704,0.7359
unb_a1.5,0.41,0.71,0.44721349549998024,0.7359
unb_a1.5,0.41,0.78,0.4472134954999802,0.7359
unb_a1.5,0.42,0.78,0.44172600673843204,0.7359
unb_a1.5,0.44,0.78,0.43133099979051787,0.7359
unb_a1.5,0.56,0.78,0.22360674774999012,0.7359
unb_a1.5,0.56,0.82,0.2236067477499901,0.7359
unb_a1.5,0.58,0.82,0.11704111979887671,0.7359
unb_a1.5,0.6,0.82,0.11547002717126463,0.7359
unb_a1.5,0.61,0.82,0.11250876477615239,0.7359
unb_a1.5,0.68,0.89,0.0,0.7359
unb_a1.5,0.72,0.89,-0.21566549989525893,0.7359
unb_a1.5,0.72,0.91,-0.2236067477499901,0.7359
unb_a1.5,0.76,0.91,-0.43133099979051787,0.7359
